축제명,국가,도시/지역,시기,주제,특징,공식/정보 사이트,개최일
Semana Grande,스페인,빌바오,8월,전통/불꽃/놀,북스페인 대표 여름축제,https://www.bilbaoturismo.net,08/13 ~ 08/17 
St Gallen Open Air,스위스,장크트갈렌,6월,음악,알프스 대형 뮤직페스티벌,https://openairsg.ch,06/23 ~ 06/28
Gentse Feesten,벨기에,겐트,7월,전통/음악/거리축제,10일간 도심문화페스티벌,https://www.gentsefeesten.stad.gent,07/14 ~ 07/23
San Sebastian Day,스페인,산세바스티안,1월,전통/퍼레이드,북부타악 퍼레이드,https://www.sansebastianturismoa.eus,01/20
Menton Lemon Festival,프랑스,망통,2월 3월,음식/아트,레몬 조형장식 퍼레이드,https://www.fete-du-citron.com,02/20 ~ 03/05
Celtic Connections,영국,글래스고,1월 2월,음악(포크),필트족전통 음악축제,https://www.celticconnections.com,01/18 ~ 02/03
Carnival of Ivrea,이탈리아,이브레아,2월,음식/퍼레이드,오렌지 전투 퍼레이드,https://www.storicocarnevaleivrea.it,02/10 ~ 02/15
Stuttgart Beer Festival,독일,슈투트가르트,9월 10월,음식(맥주),전통 독일 맥주축제,https://www.cannstatter-volksfest.de,09/28 ~ 10/13 
Madrid Pride (MADO),스페인,마드리드,7월,성소수자/퍼레이드,스페인 최대 프라이드,https://www.madridorgullo.com,07/31
Jazz à Vienne,프랑스,비엔,6월 7월,음악(재즈),고대극장 대형 재즈공연,https://jazzavienne.com,06/29 ~ 07/14 
Il Carnevale di Ivrea,이탈리아,이브레아,2월,음식/퍼레이드,오렌지 전투 행사,https://www.storicocarnevaleivrea.it,02/10 ~ 02/15
Festival of Lights,독일,베를린,10월,등불/아트,도심 미디어맵핑&조명쇼,https://festival-of-lights.de,10/04 ~ 10/13 
Liverpool International Music Festival,영국,리버풀,7월,음악,UK 인기 음악문화 이벤트,https://www.limfestival.com,07/22 ~ 07/26 
Medieval Festival of Provins,프랑스,프로뱅,6월,전통/역사,중세분장·기사놀이 체험축제,https://www.provins.net,06/20 ~ 06/29 
Strasbourg Christmas Market,프랑스,스트라스부르,11월 12월,크리스마스/시장,유럽 최고령 크리스마스마켓,https://noel.strasbourg.eu,11/27 ~ 12/24 
Vilnius International Film Festival,리투아니아,빌뉴스,3월,영화,발트3국 대표 영화제,https://kinopavasaris.lt,03/15 ~ 03/22
Sibiu International Theatre Festival,루마니아,시비우,6월,연극/공연,동유럽 대표 연극제,https://www.sibfest.ro,06/16 ~ 06/24 
Art Basel,스위스,바젤,6월,미술/예술,세계 대표 미술시장/전시회,https://www.artbasel.com,06/12 ~ 06/15 
Carnival of Rijeka,크로아티아,리예카,2월,퍼레이드,중유럽 대표 가면축제,https://www.rijecki-karneval.hr,02/19 ~ 02/23
Tall Ships Races,노르웨이,베르겐,7월,항해/퍼레이드,대형 범선 경주,https://tallshipsbergen.no,07/05 ~ 07/11 
Zurich Film Festival,스위스,취리히,9월 10월,영화,스위스 대표 국제영화제,https://zff.com,09/24 ~ 10/03 
Bloomsday,아일랜드,더블린,6월,문학/축제,제임스조이스 기념문학제,https://jamesjoyce.ie/bloomsday,06/16
Fête du Citron,프랑스,망통,2월 3월,음식/아트,레몬 주제로 거대 조형축제,https://www.fete-du-citron.com,02/15 ~ 03/04
Pol’and’Rock Festival,폴란드,코스타진,8월,음악,자유로운 대형 록페스티벌,https://www.polandrockfestival.pl,08/02 ~ 08/05 
May Day,핀란드,전국,5월1일,퍼레이드/대중,핀란드 국민 노동절 파티,https://www.visitfinland.com,05/01
Festival Medieval de Briones,스페인,브리오네스,6월,역사/전통,중세 성곽마을 변신 역사축제,https://www.larioja.org,06/21
Festival of Giants (Fêtes des Géants),프랑스,도벡,6월 7월 8월 9월,퍼레이드/전통,거인을테마로한 거리 퍼레이드,https://www.lesfetedesgeants.fr,06/01 ~ 09/30 
Bilbao BBK Live,스페인,빌바오,7월,음악/페스티벌,인디‧일렉트로닉 대표 산악 뮤직페스티벌,https://www.bilbaobbklive.com,07/08 ~ 07/12 
Dekmantel Festival,네덜란드,암스테르담,8월,음악/테크노,언더그라운드 EDM/포레스트 스테이지,https://dekmantelfestival.com,08/14 ~ 08/17 
Way Out West,스웨덴,예테보리,8월,음악/환경,친환경적 대형 음악축제,https://www.wayoutwest.se,08/07 ~ 08/10
Let It Roll,체코,밀로비체,8월,음악/드럼앤베이스,세계 최대 DNB 페스티벌,https://letitroll.eu,08/25 ~ 08/30 
Brunch Electronik Festival,스페인,바르셀로나,8월,음악/환경,지속가능성 중심 EDM+커뮤니티,https://www.brunch-electronik.com,08/16 ~ 08/18 
Primavera Sound,스페인,바르셀로나,6월,음악/종합,글로벌 인디팝·록 페스티벌,https://www.primaverasound.com,06/04 ~ 06/08
Boom Festival,포르투갈,이다냐아노바,7월 8월,음악/예술,사이키델릭·웰빙·지속가능 문화,https://boomfestival.org,07/27 ~ 08/03
Mad Cool Festival,스페인,마드리드,7월,음악/종합,최신 팝·록·일렉트로닉 대형 축제,https://madcoolfestival.es,07/05 ~ 07/09 
Defqon.1 Festival,네덜란드,Biddinghuizen,6월,음악/하드스타일,하드댄스 메가페스티벌,https://www.defqon1.com,06/19 ~ 06/21
FIB Benicàssim,스페인,베니카심,7월,음악/롤‧일렉,지중해 해변 인디음악·일렉축제,https://fiberfib.com,07/16 ~ 07/19
Rock am Ring,독일,뉘르부르크,6월,음악/록,유럽 대표 록밴드 페스티벌,https://www.rock-am-ring.com,06/05 ~ 06/07
Superbloom Festival,독일,뮌헨,9월,음악/팝,오픈에어 최신 음반축제,https://www.superbloom.de,09/20 ~ 09/22 
NOS Alive,포르투갈,리스본,7월,음악/팝,팝록/대중음악 해변 무대,https://www.nosalive.com,07/10 ~ 07/13 
Arctic Arts Festival,노르웨이,하르스타드,6월,예술/공연,북유럽 예술·극장행사,https://festspillnn.no,06/17 ~ 06/22
Terra Madre Europe,벨기에,브뤼셀,6월,음식/농업,슬로우푸드·식문화 포럼,https://www.slowfood.com/events/terra-madre-europe/,06/20 ~ 06/24 
Abergavenny Food Festival,영국,아버게버니,9월,음식,영국 대표 미식·요리 체험,https://www.abergavennyfoodfestival.com,09/13 ~ 09/15 
Copenhagen Cooking & Food Festival,덴마크,코펜하겐,8월,음식/요리,북유럽 미식축제,https://copenhagencooking.com,08/03 ~ 08/10 
Onion Market (Zibelemärit),스위스,베른,11월,음식/시장,전통 양파축제,https://www.bern.com/en/news-events/major-events/onion-market,11/22
Smaka Good Food Festival,스웨덴,예테보리,6월,음식,스웨덴 대표 음식/미식축제,https://smakapalace.se,06/05 ~ 06/08
Europeade,유럽,순회,7월,전통/민속,유럽 최대 민속음악·댄스 대회,https://www.europeade.eu,07/12 ~ 07/20 
BBC Proms,영국,런던,7월 8월 9월,음악/클래식,세계 최대 클래식 음악제,https://www.bbc.co.uk/proms,07/18 ~ 09/13 
Athens Epidaurus Festival,그리스,아테네,6월 7월 8월,예술/연극,고대극장 연극/오페라,https://aefestival.gr,06/20 ~ 08/12 
Bartók Spring International Arts Weeks,헝가리,부다페스트,3월,예술/음악/공연,바르톡 헌정 음악·예술행사,https://bartokfest.hu,03/15 ~ 03/25
Festival Castell de Peralada,스페인,페랄라다,7월 8월,음악/발레/오페라,성곽무대 음악예술제,https://www.festivalperalada.com,07/15 ~ 08/01
Linz Ars Electronica Festival,오스트리아,린츠,9월,예술/테크,미디어아트/기술 중심 아트페스티벌,https://ars.electronica.art,09/03 ~ 09/07 
Locarno Film Festival,스위스,로카르노,8월,영화,유럽권 대표 영화제,https://www.locarnofestival.ch,08/07 ~ 08/17 
Sibiu International Theatre Festival,루마니아,시비우,6월,공연/연극,동유럽 대표 연극/퍼포먼스 대표,https://www.sibfest.ro,06/15 ~ 06/25 
Festival of Giants (Fêtes des Géants),프랑스,도벡,6월 7월 8월 9월,퍼레이드/전통,거인을테마로한 거리 퍼레이드,https://www.lesfetedesgeants.fr,06/30 ~ 09/23 
Krakow Film Festival,폴란드,크라쿠프,5월 6월,영화,동유럽 오래된 다큐/단편영화제,https://www.krakowfilmfestival.pl,05/25 ~ 06/02
Fiesta de San Isidro,스페인,마드리드,5월,전통,마드리드 수호성인 기리는 대축제,https://www.madrid.es,05/10 ~ 05/15
Eurosonic Noorderslag,네덜란드,흐로닝언,1월,음악,유럽 신인·인디 록 쇼케이스,https://www.eurosonic-noorderslag.nl,01/14 ~ 01/17
Bregenzer Festspiele,오스트리아,브레겐츠,7월 8월,오페라/클래식,호수 수상무대 오페라,https://bregenzerfestspiele.com,07/17 ~ 08/23 
Lisb-ON Jardim Sonoro,포르투갈,리스본,9월,음악(일렉),야외 EDM·가든파티,https://www.jardimsonoro.pt,09/10 ~ 09/12 
WOMEX (Worldwide Music Expo),유럽 순회,도시,10월,월드뮤직,음악컨퍼+아티스트 쇼케이스,https://www.womex.com,10/23 ~ 10/27 
Festival de Cornouaille,프랑스,캥페르,7월,전통/음악,브르타뉴 켈트음악+전통춤,https://www.festival-cornouaille.bzh,07/10 ~ 07/19 
Horsens Medieval Festival,덴마크,호르센스,8월,역사/중세,유럽 최대 중세재연 축제,https://www.middelalderfestival.dk,08/05 ~ 08/10 
Malmö Festival,스웨덴,말뫼,8월,종합,음식‧음악‧아트 종합도시축제,https://www.malmofestivalen.se,08/07 ~ 08/13 
Tallinn Old Town Days,에스토니아,탈린,6월,전통/역사,중세 옛도시 테마 반환행사,https://vanalinnapaevad.ee,06/12 ~ 06/16 
Aalborg Carnival,덴마크,올보르,5월,퍼레이드,북유럽 최대 카니발 퍼레이드,https://www.aalborgkarneval.dk,05/24 ~ 05/26
London Film Festival,영국,런던,10월,영화,영국 대표 국제영화제,https://whatson.bfi.org.uk/lff,10/09 ~ 10/20 
Hamburg DOM,독일,함부르크,3월,놀이/축제,대형 독일 놀이공원형 축제,https://www.hamburg.com/dom,03/14 ~ 03/30 
Festival Internacional Cervantino,스페인,알칼라데에나레스,10월,문화/문학,스페인 대표 문학예술축제,https://cervantesvirtual.com,10/10 ~ 10/20 
Brno Day of Brno,체코,브르노,8월,역사/불꽃,도시방어 승리 기념 불꽃행사,https://www.ticbrno.cz,08/02 ~ 08/06
Busójárás,헝가리,모하츠,2월,전통/가면,마귀가면 퍼레이드 흉내내기,https://busojaras.hu,02/10 ~ 02/12
INmusic Festival,크로아티아,자그레브,6월,음악/록,크로아티아 대표 야외음악제,https://www.inmusicfestival.com,06/23 ~ 06/28
Ultra Europe,크로아티아,스플리트,7월,음악(EDM),세계적 전자음악 페스티벌,https://ultraeurope.com,07/11 ~ 07/15 
Dimensions Festival,크로아티아,티스노,8월,음악/일렉트로닉,언더그라운드 댄스 음악,https://www.dimensionsfestival.com,08/20 ~ 08/25 
Outlook Festival,크로아티아,티스노,7월,음악/베이스,베이스·사운드 시스템 중심 축제,https://outlookfestival.com,07/15 ~ 07/18 
Hideout Festival,크로아티아,즈르체,6월,음악/EDM,해변 EDM 파티,https://www.hideoutfestival.com,06/25 ~ 06/30 
Positivus Festival,라트비아,리가,7월,음악/인디,발트 3국 대표 음악제,https://positivusfestival.com,07/19 ~ 07/22 
Release Athens Festival,그리스,아테네,6월 7월,음악/종합,도심 속 글로벌 팝·록,https://releaseathens.gr,06/18 ~ 07/02 
Ejekt Festival,그리스,아테네,7월,음악/록,록·일렉트로닉 글로벌 페스티벌,https://ejekt.gr,07/21 ~ 07/24 
Vinterjazz,덴마크,코펜하겐,2월,음악/재즈,연초 600+공연 대형 재즈축제,https://jazz.dk/vinterjazz,02/05 ~ 02/14
Nature One,독일,카스텔라운,8월,음악/EDM,독일 최장수 일렉트로닉 메가페스티벌,https://www.nature-one.de,08/05 ~ 08/09 
Summer Breeze Open Air,독일,비텔숲,8월,음악/메탈,헤비메탈 메가공연,https://www.summer-breeze.de,08/13 ~ 08/17 
Blockfest,핀란드,탐페레,8월,음악/힙합,북유럽 힙합 중심,https://www.blockfest.fi,08/08 ~ 08/11 
Weekend Festival,핀란드,에스포,8월,음악/EDM,북유럽 대형 일렉트로닉,https://www.weekendfestival.fi,08/01 ~ 08/03 
Belsonic,영국,벨파스트,6월 7월,음악/팝,북아일랜드 대형 야외공연,https://www.belsonic.com,06/15 ~ 06/18 
Monte-Carlo Summer Festival,모나코,모나코,7월 8월,음악/팝,뤼스타 쇼+팝 공연,https://www.montecarlosbm.com/en/shows,07/09 ~ 07/14
Mystic Festival,폴란드,그단스크,6월,음악/록,동유럽 최대 메탈·하드록,https://www.mysticfestival.pl,06/17 ~ 06/20
Orange Warsaw Festival,폴란드,바르샤바,5월 6월,음악/팝,상반기 대규모 국제음악제,https://orangewarsawfestival.pl,05/14 ~ 05/18
Open’er Festival,폴란드,그디니아,7월,음악/팝록,동유럽 대형 뮤직페스티벌,https://opener.pl,07/09 ~ 07/12
Glitch Festival,몰타,라밧,8월,음악/EDM,지중해 EDM 특화축제,https://www.glitchfestival.com,08/12 ~ 08/15 
Ruisrock,핀란드,투르쿠,7월,음악/팝,100년 역사의 락·팝 페스티벌,https://www.ruisrock.fi,07/15 ~ 07/18 
Balaton Sound,헝가리,자마르디,7월,음악/EDM,호수 변 EDM 파티,https://balatonsound.com,07/10 ~ 07/14
Ozora Festival,헝가리,오조라,7월 8월,음악/트랜스,정신·사이키델릭 음악,https://ozorafestival.eu,07/31 ~ 08/04 
Paléo Festival,스위스,니옹,7월,음악/종합,스위스 최대 팝·월드뮤직,https://yeah.paleo.ch,07/31 ~ 08/05
Kaustinen Folk Music Festival,핀란드,카오스티넨,7월,음악/포크,북유럽 전통 포크 뮤직 중심,https://kaustinen.net,07/10 ~ 07/14
Flow Festival,핀란드,헬싱키,8월,음악/일렉·아트,도심형 음악아트융합,https://www.flowfestival.com,08/13 ~ 08/17 
Roskilde Festival,덴마크,로스킬데,6월 7월,음악/대중,북유럽 최대 뮤직&아트,https://www.roskilde-festival.dk,06/29 ~ 07/06
Donauinselfest,오스트리아,빈,6월,음악/종합,도심 강변 무료 대중 음악제,https://donauinselfest.at,06/20 ~ 06/22
Electric Castle,루마니아,클루지,7월,음악/종합,유서 깊은 성 주변 대형 페스티벌,https://electriccastle.ro,07/05 ~ 07/09
Colours of Ostrava,체코,오스트라바,7월,음악/월드,광산산업 유산 공간 대형 음악제,https://www.colours.cz,07/11 ~ 07/15
WOMAD Cáceres,스페인,카세레스,5월,음악/월드뮤직,월드뮤직 오픈에어 글로벌 축제,https://womadcaceres.es,05/18 ~ 05/22
Kaunas Jazz Festival,리투아니아,카우나스,4월,음악/재즈,발트3국 최고 유서 재즈제,https://kaunasjazz.lt,04/15 ~ 04/19
Sevilla Feria de Abril,스페인,세비야,4월,음식/춤,안달루시아 대표 봄 춤·탭퍼시타,https://www.visitasevilla.es/feria-abril,04/15 ~ 04/21
Festival d’Aix-en-Provence,프랑스,엑상프로방스,6월 7월,오페라/클래식,야외 성악·오페라 무대,https://festival-aix.com,06/25 ~ 07/03
Festival de Cornouaille,프랑스,캥페르,7월,전통/음악,브르타뉴 특별 전통음악/춤,https://www.festival-cornouaille.bzh,07/08 ~ 07/15
Festival Interceltique de Lorient,프랑스,로리앙,8월,음악/셀틱,유럽 최대 켈트음악축제,https://www.festival-interceltique.bzh,08/13 ~ 08/17 
Edinburgh International Book Festival,영국,에든버러,8월,문학,세계 유명 문학인 초청 북페어,https://www.edbookfest.co.uk,08/10 ~ 08/15 
Storsjöyran,스웨덴,외스테르순드,7월,음악/축제,스웨덴 전통 도심외락,https://www.storsjoyran.se,07/14 ~ 07/17
Feria de Santiago,스페인,산티아고 데 콤포스텔라,7월,전통,스페인 북서부 대규모 페스티벌,https://www.santiagoturismo.com,07/20 ~ 07/24
Vilnius International Film Festival,리투아니아,빌뉴스,3월 4월,영화,최대 발트 영화제,https://kinopavasaris.lt,03/20 ~ 03/25
Locarno Film Festival,스위스,로카르노,8월,영화,세계 3대 야외 영화제,https://www.locarnofestival.ch,08/10 ~ 08/15 
Bergen International Festival,노르웨이,베르겐,5월 6월,예술/클래식,노르딕 대표 종합 예술축제,https://fib.no,06/01 ~ 06/07
Benicàssim Festival (FIB),스페인,베니카심,7월,음악/록,지중해 해변 록/팝 뮤직제,https://fiberfib.com,07/12 ~ 07/16
Festival Oude Muziek Utrecht,네덜란드,위트레흐트,8월 9월,클래식/고음악,고음악 명가공연,https://oudemuziek.nl,08/21 ~ 08/25 
International Galway Arts Festival,아일랜드,골웨이,7월,아트/음악/퍼레이드,예술과 도시축제 융합,https://www.giaf.ie,07/18 ~ 07/22
Festival della Valle d’Itria,이탈리아,마르티나 프란카,7월,오페라/고전,젊은 아티스트 발굴,https://www.festivaldellavalleditria.it,07/15 ~ 07/20
Finnish Air Guitar Championships,핀란드,올루,8월,이색/경연,에어기타 유럽대표 대회,https://www.airguitarworldchampionships.com,08/15 
St. Gallen OpenAir,스위스,장크트갈렌,6월,음악/야외,알프스 배경 오픈에어 페스티벌,https://openairsg.ch,06/21 ~ 06/25
Festes de la Mercè,스페인,바르셀로나,9월,전통/퍼레이드,불꽃/인간탑 가을피에스타,https://www.festival-interceltique.bzh,09/21 ~ 09/24 
Boomtown Fair,영국,윈체스터,8월,음악/테마파크,이색 스토리텔링 뮤직타운,https://www.boomtownfair.co.uk,08/16 ~ 08/20 
Manchester International Festival,영국,맨체스터,7월,예술/뮤직/전시,최신 예술&뮤직 융합 국제제,https://mif.co.uk,07/20 ~ 07/24
Sea Dance Festival,몬테네그로,부드바,8월,음악/EDM,아드리아해 해변 일렉트로닉,https://www.seadancefestival.me,08/15 ~ 08/19 
North Sea Jazz Festival,네덜란드,로테르담,7월,음악/재즈,유럽 최대 재즈페스티벌,https://www.northseajazz.com,07/10 ~ 07/14
ABBA The Museum Festival,스웨덴,스톡홀름,5월,팝/테마,ABBA 헌정 음악 행사,https://abbathemuseum.com,05/10 
Soundwave Festival,크로아티아,티스노,7월,음악/재즈/힙합,지중해 해변 이색 소규모 음악제,https://soundwavecroatia.com,07/19 ~ 07/23
Marseille Jazz des Cinq Continents,프랑스,마르세유,7월,음악/재즈,세계 5대륙 재즈 초청제,https://www.marseillejazz.com,07/15 ~ 07/20
Metaldays,슬로베니아,톨민,7월,음악/메탈,슬로베니아 대표 멀티데이 헤비메탈축제,https://www.metaldays.net,07/12 ~ 07/16
Fêtes de Genève,스위스,제네바,8월,음악/불꽃/놀이,도심 호수 특대 불꽃놀이/체험,https://geneve.com,08/18 ~ 08/22 
Festival Jazz à Juan,프랑스,쥐앙 르 팽,7월,음악(재즈),해변 재즈의 유서 깊은 페스티벌,https://www.jazzajuan.com,07/24 ~ 07/28
Festival Jardins de Pedralbes,스페인,바르셀로나,6월 7월,음악/공연,도심궁전 야외음악제,https://www.festivalpedralbes.com,06/25 ~ 06/29 
Mysteryland,네덜란드,하르드후이크,8월,음악(EDM),유럽 최초 EDM 페스티벌,https://www.mysteryland.nl,08/17 ~ 08/21 
Jazz in Marciac,프랑스,마르시아크,7월 8월,음악/재즈,프라방스 명성의 아웃도어 재즈제,https://www.jazzinmarciac.com,07/25 ~ 07/29
Artisti in Piazza,이탈리아,페넬로,6월,거리예술/퍼포먼스,마을 전체 거리 퍼포먼스,https://www.artistiinpiazza.com,06/20 ~ 06/24 
Festival Internacional de Santander,스페인,산탄데르,8월,클래식/종합,스페인 북부 대표 종합예술제,https://festivalsantander.com,08/09 ~ 08/13 
Festival of Lights Lyon,프랑스,리옹,12월,라이트/디지털아트,라이트쇼 역동적 경관 축제,https://www.fetedeslumieres.lyon.fr,12/06 ~ 12/10 
Electric Picnic,아일랜드,스트라덤,8월 9월,음악/예술/종합,글로벌 뮤직&예술 융합 야외,https://www.electricpicnic.ie,08/21 ~ 08/26 
Solar Weekend Festival,네덜란드,로어뤼크,8월,음악/아트/체험,DIY+음악+아트 융합,https://solarweekend.com,08/23 ~ 08/27 
Rimini Wellness,이탈리아,리미니,6월,건강/피트니스,유럽 최대 피트니스 박람회,https://www.riminiwellness.com,06/21 ~ 06/24 
Jazzkaar,에스토니아,탈린,4월,음악/재즈,북유럽 재즈/월드뮤직,https://jazzkaar.ee,04/10 ~ 04/14
Rockwave Festival,그리스,아테네,6월 7월,음악/록,남동유럽 록·팝 야외공연,https://www.rockwavefestival.gr,06/28 ~ 07/02 
Festival Les Suds à Arles,프랑스,아를,7월,월드뮤직/춤,남프랑스-아프리카 박람회,https://www.suds-arles.com,07/20 ~ 07/24 
No Sleep Festival,세르비아,베오그라드,11월,EDM/나이트라이프,유럽 신흥 나이트컬처,https://www.nosleepfestival.com,11/12 ~ 11/16 
Festival Internacional de Música de Canarias,스페인,카나리아제도,1월 2월,클래식/현대음악,해넘이 남국 음악제,https://www.icdcultural.org,01/18 ~ 02/02
Montreux Comedy Festival,스위스,몽트뢰,11월,코미디/공연,유럽 최대 코미디쇼,https://www.montreuxcomedy.com,11/20 ~ 11/24 
Sevilla Bienal de Flamenco,스페인,세비야,9월 10월,전통/무용,세계 최고 플라멩코 무용제,https://www.labienal.com,09/25 ~ 10/02 
Black Sea Jazz Festival,조지아,바투미,8월,음악/재즈,흑해 리조트 재즈·팝 등,https://blackseajazzfestival.com,08/22 ~ 08/26 
Klarafestival,벨기에,브뤼셀,3월,클래식/재즈,혁신오케스트라/크로스오버제,https://www.klarafestival.be,03/15 ~ 03/19
Festival Internacional de Benicàssim,스페인,베니카심,7월,음악/인디,인디+일렉 대표 해변음악제,https://fiberfib.com,07/20 ~ 07/24 
Paredes de Coura Festival,포르투갈,파레데스,8월,음악/록,자연 속 독립록 페스티벌,https://www.paredesdecoura.com,08/15 ~ 08/20 
Kalamata International Dance Festival,그리스,칼라마타,7월,무용/현대,지중해 현대댄스 대표제,https://www.kalamatadancefestival.gr,07/22 ~ 07/26 
Settimana Mozartiana,이탈리아,키에티,7월,클래식/모차르트,모차르트 헌정 도시축제,https://www.settimanamozartiana.it,07/10 ~ 07/14
Jazz à Sète,프랑스,세트,7월,음악/재즈,서남프랑스 항구도시 재즈제,https://www.jazzasete.com,07/13 ~ 07/17
Spraoi International Street Arts Festival,아일랜드,워터포드,8월,거리/퍼포먼스,무료 거리 퍼포먼스,https://www.spraoi.com,08/10 ~ 08/14 
Festival de Cornouaille,프랑스,캥페르,7월,전통/타악,브르타뉴 전통 음악‧춤,https://www.festival-cornouaille.bzh,07/12 ~ 07/16
Bravalla Festival,스웨덴,뉘셰핑,6월,음악/록·팝,스웨덴 종합 야외음악제,https://www.bravallafestival.se,06/20 ~ 06/24
Mandrea Music Festival,이탈리아,라이고,7월 8월,음악/야외,이탈리아 북부 자연 속 음악제,https://www.mandreamusicfestival.com,07/18 ~ 07/23
Festival du Bout du Monde,프랑스,크로종,8월,월드뮤직,대서양변 세계음악 제전,https://www.festivalduboutdumonde.com,08/13 ~ 08/18 
Afro Nation,가나/남아공/포르투갈,아크라/케이프타운/리스본,7월 8월,음악(아프리카/댄스홀),아프리카 디아스포라 음악과 문화 축제,https://www.afronation.com,08/17 ~ 08/21 
Cape Town Minstrel Carnival,남아프리카공화국,케이프타운,1월,퍼레이드/문화,케이프 멀리트 문화 퍼레이드,https://www.capetown.travel/events/cape-town-minstrel-carnival,01/25
Festival au Désert,말리,틴토우,1월,음악/전통,사하라 사막 전통 음악과 문화 축제,https://www.festivalau-desert.org,01/15 ~ 01/20
Calabar Carnival,나이지리아,칼라바,12월,퍼레이드/문화,서아프리카 최대 카니발 축제,https://www.calabarcarnival.org,12/01 ~ 12/05
Lake of Stars Festival,말라위,말라위 호숫가,9월,음악/문화,말라위 호수변 국제 음악 축제,https://lakeofstars.org,09/10 ~ 09/15 
Mombasa Carnival,케냐,몸바사,11월,퍼레이드/문화,다양한 전통과 현대 문화가 융합된 축제,https://www.mombasacarnival.co.ke,11/07 ~ 11/12 
Harare International Festival of the Arts (HIFA),짐바브웨,하라레,4월,예술/음악,아프리카 연극과 음악 종합 축제,https://www.hifa.co.zw,04/20 ~ 04/26
Moroko Music Festival,남아프리카공화국,요하네스버그,10월,음악,남아프리카 신진 뮤지션 중심 대형 음악제,https://morokomusicfestival.co.za,10/10 ~ 10/14 
Durban July,남아프리카공화국,더반,7월,경마/패션,남아프리카 최대 경마 및 패션 행사,https://durbanjuly.co.za,07/19
Timkat Festival,에티오피아,교외,1월,종교,에티오피아 정교회 부활절 축제,https://www.sacred-destinations.com/ethiopia/timkat,01/19
National Arts Festival,남아프리카공화국,그라프라이넷,6월 7월,예술/공연,아프리카 최대 예술 페스티벌,https://www.nationalartsfestival.co.za,06/15 ~ 06/22
FESPACO (Panafrican Film and Television Festival of Ouagadougou),부르키나파소,와가두구,2월,영화,아프리카 최대 영화 페스티벌,https://www.fespaco.bf,02/20 ~ 02/25
Festival International de Jazz de Saint-Louis,세네갈,생루이,5월,음악(재즈),항구 도시 재즈 음악 축제,https://jazzsaintlouis.com,05/14 ~ 05/18
Sauti za Busara,탄자니아,잔지바르,2월,음악,동아프리카 전통·현대 음악 축제,https://www.busaramusic.org,02/10 ~ 02/14
Essaouira Gnawa and World Music Festival,모로코,에사우이라,6월,음악,그나와 전통 및 월드뮤직 축제,https://www.festivalessaouira.ma,06/15 ~ 06/20
Lamu Cultural Festival,케냐,라무,11월,전통/문화,스와힐리 문화 기념 및 전통 축제,https://www.lamu.go.ke,11/10 ~ 11/15 
Zanzibar International Film Festival,탄자니아,잔지바르,7월,영화/문화,동아프리카 최대 영화 및 문화 축제,https://www.ziff.or.tz,07/11 ~ 07/15
Gnaoua World Music Festival,모로코,에사우이라,6월,음악/전통,모로코 전통음악과 국제 음악의 만남,https://www.festivalessaouira.ma,06/18 ~ 06/22
Festival of the Dhow Countries Music,탄자니아,잔지바르,7월,음악,인도양 지역 음악 교류 축제,https://www.ziff.or.tz,07/14 ~ 07/18
Coura Festival (Festival International de Jazz de Saint-Louis),세네갈,생루이,5월,재즈/음악,서아프리카 대표 재즈 축제,https://www.jazzsaintlouis.com,05/20 ~ 05/24
Chale Wote Street Art Festival,가나,아크라,8월,예술/문화,스트리트 아트와 공연 예술 축제,https://chalewote.com,08/23 ~ 08/28 
Fes Festival of World Sacred Music,모로코,페스,5월 6월,음악/종교,세계 다양한 신성 음악 축제,https://fesfestival.com,06/05 ~ 06/10
Marathon des Sables,모로코,사하라 사막,4월,스포츠,세계 최악의 극한 마라톤 대회,https://www.marathondessables.com,04/10 ~ 04/16
Soweto Wine Festival,남아프리카공화국,소웨토,10월,음식/음악,와인 테이스팅 및 음악 축제,https://www.sowetowinefestival.com,10/12 ~ 10/16 
Dumela Festival,보츠와나,가보로네,9월,음악/문화,현대 및 전통 음악 축제,https://www.dumelafestival.com,09/20 ~ 09/24 
Ouidah Voodoo Festival,베냉,우이다,1월,종교/문화,전통 부두 교 문화 축제,https://www.voodoofestival.bj,01/15 ~ 01/20
Kwahu Easter Festival,가나,쿠후,4월,전통/축제,가나 최대 부활절 축제,https://ghanakwahu.com,04/13 ~ 04/17
Mawazine,모로코,라바트,5월,음악,아프리카 최대 음악 축제 중 하나,https://www.mawazine.ma,05/17 ~ 05/21
Festival Panafricain de la Musique (FESPAM),콩고민주공화국,킨샤사,7월,음악/문화,중앙 아프리카 음악 축제,https://www.fespamrdc.org,07/14 ~ 07/18
Eyo Festival,나이지리아,라고스,5월,전통,요루바족 전통 의식,https://www.visitlagos.state.ng,05/25
Ashanti Yam Festival,가나,쿰시,8월,전통/농업,아샨티족 수확 감사 축제,https://www.ghanayamfestival.com,08/17 ~ 08/21 
Chale Wote Festival,가나,아크라,8월,예술/김문화,스트리트 아트·퍼포먼스 축제,https://chalewote.com,08/22 ~ 08/25 
Johannesburg International Mozart Festival,남아프리카공화국,요하네스버그,11월,음악/클래식,한 해의 마지막 대형 클래식 축제,https://www.johmozart.co.za,11/18 ~ 11/22 
